time,force,force_increment
0,0,0
0.3,2347.3346829009,2347.3346829009
0.6,4693.4983298649,2346.163646964
0.9,7038.4889351457,2344.9906052808
1.2,9382.3127955871,2343.8238604414
1.5,11724.967830529,2342.6550349414
1.8,14066.454703147,2341.4868726181
2.1,16406.774162812,2340.3194596655
2.4,18745.926934594,2339.1527717819
2.7,21077.049550989,2331.1226163949
3,23280.368929696,2203.3193787072
3.3,24896.051146109,1615.6822164128
3.6,25417.855645261,521.80449915196
3.9,25717.140222117,299.28457685568
4.2,25932.587697961,215.44747584421
4.5,26119.357772068,186.77007410683
4.8,26285.547444412,166.18967234449
5.1,26436.006500984,150.45905657183
5.4,26577.619802593,141.6133016086
5.7,26715.071693829,137.45189123659
6,26847.549218136,132.47752430633
6.3,26977.025221104,129.47600296868
6.6,27103.413463321,126.38824221646
6.9,27226.86309329,123.44962996972
7.2,27347.515465048,120.65237175797
7.5,27465.45204481,117.93657976177
7.8,27580.563130111,115.11108530081
8.1,27693.531483808,112.96835369729
8.4,27803.438880083,109.90739627488
8.7,27911.515956591,108.07707650833
9,28018.112464391,106.59650779925
9.3,28122.929522795,104.81705840423
9.6,28226.526462705,103.59693990984
9.9,28328.897489651,102.37102694616
10.2,28429.354194735,100.45670508429
10.5,28528.580213012,99.226018276426
10.8,28626.321790198,97.741577185978
11.1,28722.626636366,96.304846168725
11.4,28817.497920932,94.871284565663
11.7,28911.056847349,93.558926417252
12,29003.160205487,92.103358138138
12.3,29093.843131991,90.682926504069
12.6,29183.245428773,89.402296781514
12.9,29271.067275794,87.821847020728
13.2,29357.544555939,86.477280145587
13.5,29442.554365406,85.009809467163
13.8,29526.295196979,83.740831572857
14.1,29608.576684859,82.281487879543
14.4,29689.449762935,80.873078076012
14.7,29769.30383647,79.854073535305
15,29848.138026052,78.83418958159
15.3,29925.983809968,77.84578391664
15.6,30002.792347519,76.80853755022
15.9,30078.690616227,75.89826870861
16.2,30153.587633704,74.897017476676
16.5,30227.474843417,73.887209713357
16.8,30300.533279314,73.05843589647
17.1,30372.797376631,72.264097317471
17.4,30443.92895604,71.131579408546
17.7,30514.29017526,70.361219220194
18,30583.764158673,69.473983413289
18.3,30652.387699154,68.623540481192
18.6,30720.149436523,67.761737368412
18.9,30787.053324979,66.903888455709
19.2,30853.116880859,66.063555880417
19.5,30918.359076075,65.242195215986
19.8,30982.805075921,64.445999846077
20.1,31046.413110028,63.608034106717
20.4,31109.204009579,62.790899551586
20.7,31171.21720304,62.013193460334
21,31232.489816326,61.272613286037
21.3,31292.93624828,60.446431954038
21.6,31352.58132137,59.645073090596
21.9,31411.4694701,58.888148729264
22.2,31469.632014,58.162543900344
22.5,31527.037372133,57.405358133445
22.8,31583.605024473,56.56765233953
23.1,31639.447664122,55.842639648752
23.4,31694.505493221,55.057829099522
23.7,31748.870758496,54.365265274817
24,31802.552498172,53.681739676475
24.3,31855.630671809,53.078173636761
24.6,31908.041956015,52.411284205431
24.9,31959.973993124,51.932037109098
25.2,32011.198271272,51.224278148624
25.5,32061.90441286,50.706141588107
25.8,32112.036743541,50.132330680663
26.1,32161.601709077,49.564965535905
26.4,32210.606775797,49.00506672007
26.7,32259.063672685,48.456896888034
27,32306.973539454,47.909866769252
27.3,32354.347907472,47.374368017568
27.6,32401.185110196,46.837202724339
27.9,32447.492457941,46.307347744754
28.2,32493.273413299,45.780955358172
28.5,32538.544143179,45.270729879259
28.8,32583.318049884,44.773906705748
29.1,32627.600788276,44.282738391885
29.4,32671.380666887,43.77987861049
29.7,32714.669182066,43.288515179229
30,32757.479945117,42.810763051602
30.3,32799.795208629,42.315263511508
30.6,32841.649271125,41.854062495659
30.9,32883.047137706,41.397866581836
31.2,32923.993394532,40.946256825191
31.5,32964.485692546,40.492298014236
31.8,33004.52371021,40.038017663806
32.1,33044.12018537,39.596475160062
32.4,33083.269493298,39.149307928245
32.7,33121.969866114,38.700372816187
33,33160.248747548,38.278881433755
33.3,33198.109555963,37.860808414916
33.6,33235.557043112,37.447487149446
33.9,33272.593511071,37.036467958656
34.2,33309.208718905,36.615207834344
34.5,33345.418693887,36.209974981895
34.8,33381.219145561,35.800451674208
35.1,33416.602063939,35.382918377894
35.4,33451.592308453,34.990244513217
35.7,33486.196381608,34.604073155009
36,33520.41758657,34.22120496261
36.3,33554.259476372,33.841889802126
36.6,33587.72215299,33.462676618132
36.9,33620.795483836,33.073330846019
37.2,33653.48559491,32.690111073178
37.5,33685.8066584,32.321063490715
37.8,33717.760696752,31.954038351651
38.1,33749.326961646,31.566264894354
38.4,33780.476910145,31.149948499093
38.7,33811.096204842,30.619294696247
39,33840.996890179,29.900685336921
39.3,33869.888708123,28.891817944095
39.6,33897.328386512,27.439678389237
39.9,33922.582239225,25.253852713242
40.2,33944.654240191,22.072000966007
40.3,33937.136951686,-7.5172885046632
40.4,33842.474009098,-94.662942588664
40.5,33075.063399599,-767.41060949842
40.6,29758.213536088,-3316.8498635114
40.7,6328.3566954509,-23429.856840637
40.8,1724.0148350882,-4604.3418603628
40.9,1236.4573688815,-487.55746620662
41,1122.3556071872,-114.10176169431
41.1,1075.7088314507,-46.646775736554
41.2,1047.4146042361,-28.294227214574
41.3,1025.7763456005,-21.638258635612
41.4,1007.2160929543,-18.560252646228
41.5,990.48590939364,-16.730183560608
