time,force,force_increment
0,0,0
0.3,2347.3346829021,2347.3346829021
0.6,4693.4983298647,2346.1636469626
0.9,7038.4889351463,2344.9906052816
1.2,9382.3127955884,2343.8238604421
1.5,11724.967830525,2342.6550349363
1.8,14066.454703146,2341.4868726212
2.1,16406.774162814,2340.3194596682
2.4,18745.926934594,2339.15277178
2.7,21077.04955099,2331.1226163964
3,23280.368926364,2203.3193753736
3.3,24896.052926931,1615.6840005669
3.6,25417.855532313,521.80260538244
3.9,25717.140246935,299.28471462207
4.2,25933.008762186,215.86851525085
4.5,26119.358205564,186.34944337756
4.8,26285.547315226,166.18910966237
5.1,26436.005868773,150.45855354631
5.4,26577.619081044,141.61321227106
5.7,26714.660215517,137.04113447354
6,26847.547592185,132.88737666793
6.3,26977.025073462,129.47748127731
6.6,27103.413360845,126.38828738252
6.9,27226.864385673,123.45102482793
7.2,27347.515446279,120.65106060605
7.5,27465.452059923,117.9366136444
7.8,27580.563171888,115.11111196441
8.1,27693.49133287,112.92816098258
8.4,27803.453149934,109.96181706344
8.7,27911.53669822,108.0835482859
9,28017.864452403,106.32775418297
9.3,28123.249242133,105.38478973071
9.6,28226.526092035,103.27684990194
9.9,28328.682963219,102.15687118391
10.2,28429.353688374,100.67072515469
10.5,28528.579787977,99.226099603387
10.8,28626.321406883,97.741618905351
11.1,28722.624831216,96.303424332898
11.4,28817.499808535,94.874977319821
11.7,28911.056428433,93.556619897521
12,29003.159793889,92.10336545646
12.3,29093.842724617,90.68293072754
12.6,29183.245038501,89.402313884086
12.9,29271.066886266,87.821847765335
13.2,29357.544176336,86.477290069604
13.5,29442.553993023,85.009816687507
13.8,29526.315146165,83.761153141615
14.1,29608.538722594,82.223576428663
14.4,29689.445985493,80.907262899385
14.7,29769.305976692,79.859991198784
15,29848.161166334,78.85518964264
15.3,29925.962299281,77.801132946573
15.6,30002.813369981,76.851070699504
15.9,30078.693441181,75.880071200216
16.2,30153.611348713,74.917907532068
16.5,30227.564096388,73.952747675405
16.8,30300.532801733,72.968705345211
17.1,30372.681524423,72.1487226893
17.4,30443.928572384,71.247047961035
17.7,30514.289701542,70.361129157765
18,30583.763804326,69.47410278481
18.3,30652.387354395,68.623550068482
18.6,30720.149099974,67.761745579162
18.9,30787.053008399,66.903908425214
19.2,30853.116563985,66.063555585766
19.5,30918.360346345,65.24378235983
19.8,30982.80479589,64.44444954499
20.1,31046.412834487,63.608038597642
20.4,31109.194931086,62.782096598625
20.7,31171.223835955,62.028904868879
21,31232.489571677,61.265735722522
21.3,31292.936010602,60.446438924744
21.6,31352.581088316,59.645077713514
21.9,31411.469246442,58.888158126199
22.2,31469.63179302,58.16254657854
22.5,31527.037157705,57.405364684957
22.8,31583.604814908,56.567657202802
23.1,31639.447459755,55.842644847042
23.4,31694.565922123,55.118462367253
23.7,31748.859766228,54.293844105014
24,31802.550775626,53.69100939808
24.3,31855.632489235,53.081713608928
24.6,31908.10607818,52.473588945526
24.9,31959.914788259,51.808710079364
25.2,32011.198023229,51.283234969764
25.5,32061.904154904,50.706131674517
25.8,32112.03649702,50.132342115779
26.1,32161.601308499,49.56481147974
26.4,32210.606574727,49.005266227559
26.7,32259.063615914,48.457041186812
27,32306.973262799,47.909646885404
27.3,32354.347642242,47.374379443248
27.6,32401.184913332,46.837271090229
27.9,32447.492266983,46.307353650878
28.2,32493.273227605,45.780960621782
28.5,32538.544456639,45.271229034261
28.8,32583.318053662,44.773597022257
29.1,32627.600606465,44.282552803688
29.4,32671.380501569,43.779895103413
29.7,32714.669589002,43.289087433401
30,32757.479218398,42.809629396157
30.3,32799.79503298,42.315814581954
30.6,32841.649122137,41.854089157037
30.9,32883.047214152,41.398092014744
31.2,32923.993379478,40.946165326233
31.5,32964.48553704,40.49215756185
31.8,33004.52357467,40.038037630264
32.1,33044.120052747,39.596478076921
32.4,33083.269363531,39.149310784116
32.7,33121.970329079,38.700965547789
33,33160.24841893,38.278089850355
33.3,33198.109434696,37.861015765964
33.6,33235.556242592,37.446807896078
33.9,33272.593370923,37.037128331423
34.2,33309.20860161,36.615230687166
34.5,33345.418578193,36.20997658233
34.8,33381.219028043,35.800449850925
35.1,33416.601974361,35.382946317091
35.4,33451.592297835,34.990323474733
35.7,33486.196253644,34.603955808765
36,33520.41752732,34.221273676296
36.3,33554.259446026,33.841918705279
36.6,33587.721738571,33.462292545853
36.9,33620.795379296,33.073640724811
37.2,33653.485454664,32.690075367384
37.5,33685.806556538,32.321101874397
37.8,33717.761128321,31.954571783346
38.1,33749.338938379,31.57781005725
38.4,33780.554156002,31.215217623656
38.7,33811.368520865,30.814364863108
39,33841.665603681,30.29708281593
39.3,33871.231341398,29.565737717021
39.6,33899.728588472,28.49724707337
39.9,33926.71672994,26.988141468188
40.2,33951.436877804,24.720147863853
40.3,33954.555070001,3.11819219678
40.4,33951.204376724,-3.3506932761884
40.5,33932.39687913,-18.807497594229
40.6,33487.096478917,-445.30040021276
40.7,31426.05731237,-2061.0391665476
40.8,17428.176080353,-13997.881232016
40.9,2781.2802973418,-14646.895783012
41,1431.3159724346,-1349.9643249072
41.1,1197.5056905521,-233.81028188244
41.2,1126.3828669232,-71.122823628948
41.3,1090.3409845345,-36.04188238869
41.4,1065.4916758763,-24.849308658223
41.5,1045.1251525781,-20.366523298195
41.6,1027.1524599926,-17.972692585467
41.7,1010.514934201,-16.637525791623
41.8,994.89092655747,-15.624007643505
