time,force,force_increment
18.3,30644.875029958,68.699609579588
18.6,30712.715532805,67.840502846524
18.9,30779.698499004,66.982966199415
19.2,30845.842006843,66.143507838788
19.5,30911.152969866,65.310963022697
19.8,30975.672450208,64.519480342591
20.1,31039.358086539,63.68563633084
20.4,31102.219492031,62.861405492335
20.7,31164.305548726,62.086056694159
21,31225.658946918,61.353398192688
21.3,31286.181803671,60.522856752636
21.6,31345.905027043,59.723223371879
21.9,31404.860550341,58.955523297976
22.2,31463.094435827,58.233885486155
22.5,31520.576806357,57.482370529851
22.8,31577.221148101,56.644341744079
23.1,31633.193207312,55.972059210675
23.4,31688.324134333,55.130927021321
23.7,31742.700803475,54.376669142326
24,31796.446402489,53.745599014099
24.3,31849.588084269,53.14168177978
24.6,31902.097821991,52.509737721888
24.9,31954.044670493,51.946848501513
25.2,32005.329525681,51.284855188082
25.5,32056.131898509,50.802372828428
25.8,32106.281640305,50.149741796267
26.1,32155.903106526,49.621466220622
26.4,32204.962807601,49.059701075443
26.7,32253.474469164,48.511661563007
27,32301.478445184,48.003976019441
27.3,32348.868053696,47.389608512163
27.6,32395.759498444,46.891444747682
27.9,32442.12032361,46.360825166146
28.2,32487.954905797,45.834582186719
28.5,32533.276658508,45.321752711083
28.8,32578.10100536,44.824346852332
29.1,32622.433962133,44.332956773207
29.4,32666.265739548,43.831777414362
29.7,32709.604739088,43.33899954017
30,32752.468856046,42.864116958488
30.3,32794.831511075,42.362655028821
30.6,32836.733405809,41.901894734314
30.9,32878.178560296,41.445154486639
31.2,32919.171982335,40.993422039181
31.5,32959.713346006,40.541363671357
31.8,32999.797627858,40.084281851945
32.1,33039.441239087,39.643611228479
32.4,33078.638475148,39.197236061118
32.7,33117.385074295,38.746599146893
33,33155.708647009,38.323572713845
33.3,33193.613928617,37.905281608037
33.6,33231.105003261,37.491074644429
33.9,33268.185914123,37.080910862038
34.2,33304.846958077,36.661043953973
34.5,33341.100110732,36.253152654666
34.8,33376.94688539,35.846774658537
35.1,33412.373461625,35.426576234735
35.4,33447.405905675,35.032444049772
35.7,33482.051839315,34.645933640226
36,33516.3147768,34.26293748476
36.3,33550.19801965,33.883242850323
36.6,33583.703472217,33.505452566977
36.9,33616.818294269,33.114822051284
37.2,33649.551054018,32.732759749728
37.5,33681.912527243,32.361473224482
37.8,33713.908621543,31.996094300353
38.1,33745.527222068,31.618600524627
38.4,33776.282469598,30.755247529858
38.7,33806.579139085,30.296669487165
39,33835.744215587,29.165076502453
39.3,33862.059026888,26.314811300581
39.6,33873.285997558,11.226970670199
39.9,33819.744064005,-53.541933553031
40.2,33661.988391655,-157.75567234997
40.3,33580.345069045,-81.643322610231
40.4,33478.96479235,-101.38027669485
40.5,33364.768670664,-114.19612168588
40.6,33237.223995793,-127.54467487092
40.7,33105.56105078,-131.66294501335
40.8,32944.338431412,-161.22261936814
40.9,32780.334856827,-164.00357458443
41,32609.159493219,-171.17536360818
41.1,32423.263707792,-185.89578542676
41.2,32234.65111914,-188.6125886525
41.3,32037.011066565,-197.64005257504
41.4,31830.814071128,-206.19699543698
41.5,31621.852864273,-208.96120685479
41.6,31410.242278085,-211.61058618756
41.7,31191.769809804,-218.47246828105
41.8,30967.422029448,-224.34778035673
41.9,30741.65791276,-225.76411668707
42,30512.63504247,-229.02287029053
42.1,30274.244555479,-238.39048699112
42.2,30031.068256573,-243.17629890596
42.3,29785.906786092,-245.16147048055
42.4,29537.978888047,-247.92789804568
42.5,29287.615976999,-250.3629110481
42.6,29035.144646193,-252.47133080513
42.7,28780.979154322,-254.16549187095
42.8,28525.130308942,-255.84884538025
42.9,28266.905900619,-258.22440832346
43,28005.083499341,-261.82240127826
43.1,27738.611709961,-266.4717893792
43.2,27461.301039865,-277.31067009595
43.3,27168.883817593,-292.41722227275
43.4,26868.223267455,-300.66055013741
43.5,26560.280570017,-307.94269743839
43.6,26242.296494393,-317.98407562399
43.7,25912.489461265,-329.80703312745
43.8,25568.354468525,-344.13499273994
43.9,25207.115606434,-361.23886209185
44,24829.568975212,-377.54663122139
44.1,24440.176678158,-389.3922970542
44.2,24040.708577052,-399.46810110584
44.3,23634.392431147,-406.31614590465
44.4,23225.208783573,-409.18364757477
44.5,22819.648859704,-405.55992386894
44.6,22420.566974077,-399.08188562679
44.7,22032.93099024,-387.63598383725
44.8,21658.518816389,-374.41217385115
44.9,21297.868185568,-360.65063082061
45,20950.802777812,-347.0654077564
45.1,20616.765759294,-334.03701851753
45.2,20295.039092776,-321.72666651796
45.3,19985.659957874,-309.37913490202
45.4,19686.093450285,-299.56650758862
45.5,19396.475192334,-289.61825795156
45.6,19116.044708878,-280.43048345632
45.7,18844.055539403,-271.9891694748
45.8,18579.76637404,-264.2891653626
45.9,18322.408468863,-257.35790517678
46,18071.162534159,-251.24593470444
46.1,17825.088545494,-246.0739886647
46.2,17583.046440271,-242.04210522344
46.3,17343.580839495,-239.46560077594
46.4,17104.832131092,-238.7487084025
46.5,16864.86857801,-239.96355308194
46.6,16624.661999405,-240.20657860501
46.7,16389.328947817,-235.33305158805
46.8,16159.890577442,-229.43837037564
46.9,15937.782026286,-222.10855115543
47,15722.951301646,-214.83072464072
47.1,15515.064274875,-207.88702677034
47.2,15313.727051833,-201.33722304214
47.3,15118.543311158,-195.18374067508
47.4,14929.143865414,-189.3994457439
47.5,14745.195069586,-183.9487958283
47.6,14566.393430203,-178.80163938231
47.7,14392.46690637,-173.92652383368
47.8,14223.161096652,-169.30580971801
47.9,14058.252767556,-164.90832909556
48,13898.075758725,-160.17700883114
48.1,13741.297705074,-156.77805365158
48.2,13588.331179538,-152.96652553535
48.3,13439.019167873,-149.31201166555
48.4,13293.193436995,-145.82573087769
48.5,13150.721226204,-142.47221079072
48.6,13011.45599609,-139.26523011387
48.7,12875.279777147,-136.17621894379
48.8,12742.065002627,-133.21477451972
48.9,12611.704369572,-130.36063305522
49,12484.090458922,-127.61391064992
49.1,12359.119879157,-124.97057976448
49.2,12236.703646802,-122.41623235538
49.3,12116.745395447,-119.95825135442
49.4,11999.164808755,-117.580586692
49.5,11883.880330448,-115.28447830721
49.6,11770.81433708,-113.06599336782
49.7,11659.896590036,-110.91774704441
49.8,11551.054171026,-108.84241901038
49.9,11444.223911401,-106.83025962494
50,11339.341320102,-104.88259129835
50.1,11236.346962347,-102.99435775487
50.2,11135.182463195,-101.16449915205
50.3,11035.795328245,-99.387134950648
50.4,10938.130324888,-97.665003356926
50.5,10842.138074821,-95.992250066423
50.6,10748.179517214,-93.958557607228
50.7,10654.983443412,-93.196073802133
50.8,10564.095688312,-90.887755100144
50.9,10473.9656422,-90.13004611177
51,10385.653044654,-88.312597546143
51.1,10299.066211565,-86.586833088932
51.2,10213.523754633,-85.542456931837
51.3,10129.320209403,-84.203545229997
51.4,10046.41496794,-82.905241463097
51.5,9964.7868133317,-81.628154608392
51.6,9884.3907162367,-80.396097095028
51.7,9805.1997119573,-79.191004279344
51.8,9727.1856887354,-78.014023221947
51.9,9650.3180950695,-76.867593665869
52,9574.5651953212,-75.75289974834
52.1,9499.9028737119,-74.662321609261
52.2,9426.3034535089,-73.599420203036
52.3,9353.7397948362,-72.56365867263
52.4,9282.1904972463,-71.549297589931
52.5,9211.6300684908,-70.560428755523
52.6,9142.0359318588,-69.59413663202
52.7,9073.3880958181,-68.647836040636
52.8,9005.6615246346,-67.726571183548
52.9,8938.837842357,-66.823682277553
53,8872.8944093153,-65.943433041743
53.1,8807.8111071469,-65.083302168412
53.2,8743.573725536,-64.237381610854
53.3,8680.1569632196,-63.416762316463
53.4,8617.5438100318,-62.613153187747
53.5,8555.7178103547,-61.82599967713
53.6,8494.6599828107,-61.057827544018
53.7,8434.3588822315,-60.301100579141
53.8,8374.7941803463,-59.564701885234
53.9,8315.9496196566,-58.844560689697
54,8257.8101923257,-58.139427330851
54.1,8200.3616904172,-57.448501908566
54.2,8143.5913295961,-56.770360821069
54.3,8087.4803250898,-56.111004506261
54.4,8032.016174555,-55.464150534792
54.5,7977.1854890125,-54.830685542541
54.6,7922.9749896612,-54.210499351281
54.7,7869.3722438784,-53.60274578287
54.8,7816.3695932541,-53.002650624213
54.9,7763.9487268915,-52.42086636261
55,7712.1017226362,-51.847004255354
55.1,7660.8095013122,-51.292221323955
55.2,7610.060872071,-50.748629241174
55.3,7559.8518446376,-50.209027433415
55.4,7510.1643050167,-49.687539620919
55.5,7460.983410366,-49.180894650681
55.6,7412.2995035326,-48.683906833396
55.7,7364.1056250959,-48.193878436773
55.8,7316.3852613988,-47.720363697097
55.9,7269.1300087209,-47.255252677824
56,7222.3291266113,-46.800882109625
56.1,7175.9666684951,-46.362458116178
56.2,7130.0307766976,-45.935891797579
56.3,7084.5120804855,-45.51869621206
56.4,7039.396081292,-45.115999193533
56.5,6994.6719463693,-44.724134922708
56.6,6950.327987741,-44.34395862823
56.7,6906.3520635768,-43.975924164186
56.8,6862.7316420317,-43.62042154512
56.9,6819.4526142622,-43.279027769569
57,6776.5051719752,-42.947442286981
57.1,6733.8922650392,-42.612906935952
57.2,6691.579596831,-42.312668208197
57.3,6649.5558704788,-42.023726352246
57.4,6607.808094665,-41.747775813816
57.5,6566.3211764886,-41.486918176367
57.6,6525.0837586019,-41.237417886653
57.7,6484.0807507084,-41.003007893511
57.8,6443.301200279,-40.779550429462
57.9,6402.7324751105,-40.568725168479
58,6362.380380145,-40.352094965542
58.1,6322.2279178905,-40.152462254486
58.2,6282.2622491862,-39.965668704264
58.3,6242.4957699572,-39.766479228951
58.4,6202.9379495193,-39.557820437914
58.5,6163.641212661,-39.296736858335
58.6,6124.6560899251,-38.985122735876
58.7,6086.0018041998,-38.654285725285
58.8,6047.7072241438,-38.294580056087
58.9,6009.7858730175,-37.921351126242
59,5972.2490076695,-37.536865347999
59.1,5935.0996278472,-37.149379822318
59.2,5898.3408580073,-36.758769839902
59.3,5861.9724603982,-36.368397609092
59.4,5825.9934604862,-35.978999911973
59.5,5790.3999048333,-35.593555652919
59.6,5755.1881377749,-35.211767058401
59.7,5720.3527538702,-34.835383904715
59.8,5685.8900749658,-34.462678904399
59.9,5651.7964897745,-34.093585191255
60,5618.0639625081,-33.732527266483
