time,force,force_increment
0,0,0
0.3,2347.3346828994,2347.3346828994
0.6,4693.4983298644,2346.163646965
0.9,7038.4889351468,2344.9906052824
1.2,9382.312795588,2343.8238604412
1.5,11724.967830528,2342.6550349399
1.8,14066.454703145,2341.4868726176
2.1,16406.774162811,2340.3194596661
2.4,18745.926934593,2339.1527717819
2.7,21077.049550988,2331.1226163948
3,23280.368929521,2203.319378533
3.3,24896.052827731,1615.6838982098
3.6,25417.855531678,521.80270394678
3.9,25717.140231067,299.28469938918
4.2,25933.126999232,215.98676816513
4.5,26119.358011491,186.2310122591
4.8,26285.546844591,166.1888331001
5.1,26436.005308754,150.45846416309
5.4,26577.618440895,141.61313214083
5.7,26714.660109108,137.04166821335
6,26847.548289188,132.88818008
6.3,26977.024422076,129.4761328876
6.6,27103.41268997,126.3882678938
6.9,27226.863745636,123.45105566569
7.2,27347.514810999,120.65106536356
7.5,27465.451433762,117.9366227629
7.8,27580.562568115,115.11113435335
8.1,27693.217707677,112.65513956162
8.4,27803.434365068,110.21665739068
8.7,27911.544378636,108.11001356823
9,28018.11008241,106.56570377458
9.3,28122.930908154,104.82082574383
9.6,28226.527779977,103.5968718231
9.9,28328.684653816,102.1568738385
10.2,28429.355284053,100.67063023731
10.5,28528.581272558,99.225988504619
10.8,28626.322811532,97.741538974537
11.1,28722.626294939,96.303483406442
11.4,28817.501226517,94.874931578201
11.7,28911.057809716,93.55658319877
12,29003.161139744,92.103330028487
12.3,29093.844030585,90.682890840431
12.6,29183.246304597,89.402274012133
12.9,29271.068123466,87.821818869124
13.2,29357.545371395,86.477247928899
13.5,29442.555157925,85.009786530303
13.8,29526.317703554,83.762545629081
14.1,29608.535275314,82.217571759596
14.4,29689.458582176,80.923306862212
14.7,29769.306735304,79.848153128027
15,29848.141178465,78.834443161169
15.3,29925.978811816,77.837633350646
15.6,30002.806725583,76.827913766876
15.9,30078.685645355,75.87891977264
16.2,30153.651090769,74.96544541356
16.5,30227.597592997,73.94650222822
16.8,30300.533676752,72.936083754958
17.1,30372.682415517,72.148738765332
17.4,30443.929465624,71.247050106958
17.7,30514.290598488,70.36113286348
18,30583.764612413,69.474013924806
18.3,30652.388139669,68.623527256488
18.6,30720.149860086,67.761720416416
18.9,30787.054687781,66.904827695576
19.2,30853.117280019,66.062592237391
19.5,30918.359467559,65.242187540422
19.8,30982.806882292,64.447414733469
20.1,31046.413974148,63.607091855509
20.4,31109.195560629,62.78158648052
20.7,31171.218201431,62.022640802188
21,31232.490108179,61.271906748021
21.3,31292.93653984,60.446431661665
21.6,31352.581593044,59.645053203425
21.9,31411.469733286,58.888140241936
22.2,31469.632268467,58.162535180963
22.5,31527.037618764,57.40535029714
22.8,31583.605261534,56.567642770227
23.1,31639.447891359,55.842629825351
23.4,31694.505709038,55.057817678167
23.7,31748.875123167,54.369414128916
24,31802.564667072,53.689543905006
24.3,31855.638078139,53.073411067649
24.6,31908.099808663,52.461730523515
24.9,31959.915212835,51.815404172074
25.2,32011.198437239,51.28322440424
25.5,32061.904577378,50.706140139209
25.8,32112.036904607,50.132327228297
26.1,32161.601707844,49.564803237678
26.4,32210.606947811,49.00523996678
26.7,32259.063848209,48.456900397709
27,32306.973686793,47.909838584732
27.3,32354.347988718,47.37430192469
27.6,32401.185250615,46.83726189673
27.9,32447.493510007,46.308259392601
28.2,32493.273551688,45.780041680333
28.5,32538.544570412,45.271018723997
28.8,32583.318185343,44.773614930942
29.1,32627.600910111,44.282724768447
29.4,32671.380798333,43.779888221787
29.7,32714.669312047,43.288513714429
30,32757.479501119,42.810189071984
30.3,32799.795311832,42.315810712716
30.6,32841.649954289,41.854642456972
30.9,32883.047261744,41.397307454674
31.2,32923.993644275,40.946382530994
31.5,32964.485813544,40.492169269783
31.8,33004.523829434,40.038015889309
32.1,33044.120303276,39.596473842379
32.4,33083.269609405,39.149306129053
32.7,33121.970570028,38.70096062262
33,33160.249744887,38.279174859344
33.3,33198.109511755,37.859766867718
33.6,33235.557184737,37.44767298214
33.9,33272.593620606,37.036435868722
34.2,33309.208831077,36.615210471304
34.5,33345.41882302,36.209991942567
34.8,33381.219251238,35.800428218361
35.1,33416.602178465,35.382927227329
35.4,33451.592407158,34.99022869287
35.7,33486.196487384,34.604080226221
36,33520.417757544,34.221270159374
36.3,33554.259623336,33.841865792478
36.6,33587.72159649,33.461973153251
36.9,33620.795561448,33.073964958719
37.2,33653.485672915,32.690111466931
37.5,33685.806755351,32.321082435767
37.8,33717.760792618,31.954037266565
38.1,33749.327211344,31.56641872615
38.4,33780.478027118,31.150815774818
38.7,33811.099977389,30.621950270419
39,33841.006436096,29.906458707206
39.3,33869.910578098,28.904142001658
39.6,33897.375635209,27.465057111513
39.9,33922.685452441,25.309817232061
40.2,33944.877990597,22.192538155738
40.3,33938.822094934,-6.0558956632085
40.4,33854.430901223,-84.39119371066
40.5,33263.959528929,-590.47137229445
40.6,30629.460570809,-2634.4989581193
40.7,13879.904849693,-16749.555721116
40.8,2644.8829901893,-11235.021859504
40.9,1526.0402642506,-1118.8427259387
41,1301.9141570077,-224.1261072429
41.1,1225.2849854402,-76.629171567502
41.2,1182.9705560058,-42.314429434399
41.3,1151.9000622821,-31.070493723691
41.4,1125.9997974627,-25.900264819473
41.5,1103.7675238934,-22.23227356923
41.6,1083.6058416266,-20.161682266859
41.7,1065.2878980515,-18.317943575082
41.8,1048.2451613017,-17.042736749805
41.9,1032.1860111693,-16.059150132387
42,1017.2560303704,-14.929980798871
42.1,1002.9792582731,-14.276772097342
42.2,989.50746417046,-13.471794102638
