time,Rx_left,Rx_right,p,separation
0.0265,-1.8335211189625,1.6209086432824,0.21302142440177,0.0055099548010101
0.02675,-1.7849884111388,1.5642437045036,0.22117803162242,0.0059489337037181
0.027,-1.7359358011317,1.5069976718859,0.22939725416263,0.006409845160706
0.02725,-1.6863116360166,1.4491117347515,0.23768633530732,0.0068937682009129
0.0275,-1.6360562197232,1.39051802738,0.24605367443593,0.0074019455493049
0.02775,-1.5850998692814,1.3311372865186,0.25450912646202,0.0079358219854546
0.028,-1.5333602603639,1.2708755925327,0.26306441610247,0.0084970962715644
0.02825,-1.4807395517103,1.2096216144059,0.27173350907221,0.0090877797429634
0.0285,-1.427119425999,1.1472404029036,0.28053340012744,0.0097102923079736
0.02875,-1.3723548789444,1.0835664735031,0.28948501452666,0.010367584913449
0.029,-1.3162651619687,1.0183935275447,0.29861454441163,0.011063316957503
0.02925,-1.2586202927722,0.95145908801127,0.30795544745433,0.011802119438182
0.0295,-1.1991193950882,0.88241921386681,0.31755171784402,0.012590013519108
0.02975,-1.1373573271013,0.81081099262838,0.3274627947901,0.013435058238627
0.03,-1.0727649324783,0.73598355984962,0.33777253407201,0.014348499049442
0.03025,-1.0044989671502,0.65697219497076,0.34860564517815,0.015346879352295
0.0305,-0.93121386744224,0.57223717534326,0.36016182476435,0.016456401071252
0.03075,-0.85050655567626,0.47902734709904,0.37279899591056,0.017723482036466
0.031,-0.75718776317435,0.37139966495293,0.38729270512469,0.019247486026494
0.03125,-0.63409041851039,0.22968614258867,0.40621749153648,0.021353873235216
0.0315,-0.06739830677377,-0.41847003657195,0.49096404586347,0.034364886075194
0.03175,-0.062448593537544,-0.42419629096972,0.49173555395776,0.034795395252458
0.032,-0.058374356071596,-0.42892103075755,0.49237618023399,0.035197063075546
0.03225,-0.054923386242261,-0.4329321098089,0.49292320392751,0.035577919920511
0.0325,-0.051939988566828,-0.43640722382494,0.49339967513329,0.03594296654752
0.03275,-0.049320613644304,-0.43946468404185,0.49382095492361,0.036295561005305
0.033,-0.046992866613532,-0.44218718521505,0.49419780297324,0.036638068215209
0.03325,-0.044903902837343,-0.4446351827198,0.49453809199917,0.036972230559503
0.0335,-0.043014105848769,-0.44685391884177,0.49484773505166,0.037299360188682
0.03375,-0.041292735832567,-0.4488786515212,0.49513133446026,0.037620487930628
0.034,-0.039715683097402,-0.4507369487646,0.49539250658994,0.037936424117936
0.03425,-0.038263559974396,-0.45245102295439,0.49563416773929,0.038247826067773
0.0345,-0.036920529204009,-0.45403907048259,0.49585870725719,0.038555235956378
0.03475,-0.035673623447895,-0.45551588527846,0.49606808466302,0.038859096117708
0.035,-0.034511912048969,-0.45689404787111,0.4962639582485,0.039159785823101
0.03525,-0.033426167318092,-0.45818419717367,0.49644773202487,0.039457627755688
0.0355,-0.032408631090477,-0.45939516674832,0.49662058791177,0.039752890210875
0.03575,-0.031452523606271,-0.46053482882383,0.4967835641223,0.040045814956909
0.036,-0.030552099363833,-0.46160971467612,0.49693754094541,0.040336602292951
0.03625,-0.029702246994048,-0.46262578635348,0.49708330593673,0.040625437398662
0.0365,-0.028895427222589,-0.46359172043487,0.49722188463403,0.040912748792341
0.03675,-0.028130797731607,-0.46450846356033,0.49735353559119,0.041198425684052
0.037,-0.027405377779183,-0.46537941852553,0.49747874161151,0.041482551172692
0.03725,-0.026716029286502,-0.46620826279957,0.49759799106697,0.041765242050908
0.0375,-0.026060008850724,-0.46699813138861,0.49771171140374,0.042046597547243
0.03775,-0.025434856815075,-0.46775183897262,0.49782028715151,0.042326707157321
