time,Rx_left,Rx_right,p,separation
0,0,0,0,0
0.00025,-0.038996161834857,0.038996161834747,0,4.4191924720099e-09
0.0005,-0.077992323669709,0.077992323669595,0,8.8383849440193e-09
0.00075,-0.11698848550456,0.11698848550445,0,1.3257577416029e-08
0.001,-0.15598464733941,0.1559846473393,0,1.7676769888038e-08
0.00125,-0.19498080917427,0.19498080917414,0,2.2095962360048e-08
0.0015,-0.23397697100912,0.23397697100902,0,2.6515154832057e-08
0.00175,-0.27297313284397,0.27297313284385,0,3.0934347304066e-08
0.002,-0.31196929467882,0.3119692946787,0,3.5353539776076e-08
0.00225,-0.35096545651368,0.35096545651356,0,3.9772732248085e-08
0.0025,-0.38996161834853,0.38996161834843,0,4.4191924720095e-08
0.00275,-0.42895778018338,0.42895778018328,0,4.8611117192104e-08
0.003,-0.46795394201823,0.46795394201812,0,5.3030309664113e-08
0.00325,-0.50695010385308,0.50695010385298,0,5.7449502136123e-08
0.0035,-0.54594626568794,0.54594626568783,0,6.1868694608132e-08
0.00375,-0.58494242752279,0.58494242752268,0,6.6287887080142e-08
0.004,-0.62393858935764,0.62393858935751,0,7.0707079552151e-08
0.00425,-0.66293475119249,0.66293475119238,0,7.512627202416e-08
0.0045,-0.70193091302735,0.70193091302725,0,7.954546449617e-08
0.00475,-0.7409270748622,0.74092707486211,0,8.3964656968179e-08
0.005,-0.77992323669705,0.77992323669696,0,8.8383849440188e-08
0.00525,-0.8189193985319,0.81891939853176,0,9.2803041912198e-08
0.0055,-0.85791556036676,0.85791556036665,0,9.7222234384207e-08
0.00575,-0.89691172220161,0.89691172220145,0,1.0164142685622e-07
0.006,-0.93590788403646,0.9359078840364,0,1.0606061932823e-07
0.00625,-0.97490404587131,0.97490404587121,0,1.1047981180024e-07
0.0065,-1.0139002077062,1.013900207706,0,1.1489900427225e-07
0.00675,-1.052896369541,1.0528963695409,0,1.1931819674425e-07
0.007,-1.0918925313759,1.0918925313758,0,1.2373738921626e-07
0.00725,-1.1308886932107,1.1308886932106,0,1.2815658168827e-07
0.0075,-1.1698848550456,1.1698848550455,0,1.3257577416028e-07
0.00775,-1.2088810168804,1.2088810168802,0,1.3699496663229e-07
0.008,-1.2478771787153,1.2478771787152,0,1.414141591043e-07
0.00825,-1.2868733405501,1.2868733405501,0,1.4583335157631e-07
0.0085,-1.325869502385,1.3258695023849,0,1.5025254404832e-07
0.00875,-1.3648656642198,1.3648656642196,0,1.5467173652033e-07
0.009,-1.4038618260547,1.4038618260546,0,1.5909092899234e-07
0.00925,-1.4428579878895,1.4428579878895,0,1.6351012146435e-07
0.0095,-1.4818541497244,1.4818541497243,0,1.6792931393636e-07
0.00975,-1.5208503115592,1.5208503115591,0,1.7234850640837e-07
0.01,-1.5598464733941,1.5598464733942,0,1.7676769888038e-07
0.01025,-1.598842635229,1.5988426352286,0,1.8118689135239e-07
0.0105,-1.6378387970638,1.6378387970637,0,1.856060838244e-07
0.01075,-1.6768349588987,1.6768349588986,0,1.9002527629641e-07
0.011,-1.7158311207335,1.7158311207334,0,1.9444446876841e-07
0.01125,-1.7548272825684,1.7548272825684,0,1.9886366124042e-07
0.0115,-1.7938234444032,1.7938234444031,0,2.0328285371243e-07
0.01175,-1.8328196062381,1.832819606238,0,2.0770204618444e-07
0.012,-1.8718157680729,1.8718157680729,0,2.1212123865645e-07
0.01225,-1.9108119299078,1.9108119299076,0,2.1654043112846e-07
0.0125,-1.9498080917426,1.9498080917424,0,2.2095962360047e-07
0.01275,-1.9888042535775,1.9888042535774,0,2.2537881607248e-07
0.013,-2.0278004154123,2.0278004154122,0,2.2979800854449e-07
0.01325,-2.0667965772472,2.0667965772472,0,2.342172010165e-07
0.0135,-2.105792739082,2.1057927390819,0,2.3863639348851e-07
0.01375,-2.1447889009169,2.1447889009167,0,2.4305558596052e-07
0.014,-2.1837850627517,2.1837850627518,0,2.4747477843253e-07
0.01425,-2.2227812245866,2.2227812245864,0,2.5189397090454e-07
0.0145,-2.2617773864214,2.2617773864213,0,2.5631316337655e-07
0.01475,-2.3007735482563,2.3007735482561,0,2.6073235584856e-07
0.015,-2.3397697100911,2.339769710091,0,2.6515154832057e-07
0.01525,-2.378765871926,2.378765871926,0,2.6957074079257e-07
0.0155,-2.4177620337609,2.4177620337608,0,2.7398993326458e-07
0.01575,-2.4567581955957,2.4567581955956,0,2.7840912573659e-07
0.016,-2.4957543574306,2.4957543574304,0,2.828283182086e-07
0.01625,-2.5347505192654,2.5347505192653,0,2.8724751068061e-07
0.0165,-2.5737466811003,2.5737466811003,0,2.9166670315262e-07
0.01675,-2.6127428429351,2.612742842935,0,2.9608589562463e-07
0.017,-2.65173900477,2.6517390047699,0,3.0050508809664e-07
0.01725,-2.6907351666048,2.6907351666046,0,3.0492428056865e-07
0.0175,-2.7297313284397,2.7297313284395,0,3.0934347304066e-07
0.01775,-2.7687274902745,2.7687274902745,0,3.1376266551267e-07
0.018,-2.8077236521094,2.8077236521092,0,3.1818185798468e-07
0.01825,-2.8467198139442,2.8467198139442,0,3.2260105045669e-07
0.0185,-2.8857159757791,2.8857159757789,0,3.270202429287e-07
0.01875,-2.9247121376139,2.9247121376137,0,3.3143943540071e-07
0.019,-2.9637082994488,2.9637082994488,0,3.3585862787271e-07
0.01925,-3.0027044612836,3.0027044612836,0,3.4027782034472e-07
0.0195,-3.0417006231185,3.0417006231183,0,3.4469701281673e-07
0.01975,-3.0446328472864,3.0446328472864,0,3.7172851195795e-06
0.02,-3.0043894417545,3.0043894417546,0,1.8133963112397e-05
