time,Fx
0,0
0.01,80.821735400408
0.02,161.45845242555
0.03,241.90246335594
0.04,322.15450072461
0.05,389.67705108045
0.06,393.33455628676
0.07,396.31226871612
0.08,398.81651858472
0.09,400.99782376387
0.1,402.95937060204
0.11,404.77129605542
0.12,406.48097847589
0.13,408.12029668688
0.14,409.7106521969
0.15,411.26640010569
0.16,412.79717442318
0.17,414.30944852972
0.18,415.80758538357
0.19,417.29453276223
0.2,418.77229386099
0.21,420.2426601781
0.22,421.7053015229
0.23,423.1583422692
0.24,424.61370856061
0.25,426.05925435739
0.26,427.49966419
0.27,428.93507726991
0.28,430.36540118054
0.29,431.79113416042
0.3,433.21165790695
0.31,434.6282802649
0.32,436.03363924686
0.33,437.44646646412
0.34,438.84890493993
0.35,440.24547942177
0.36,441.64060310384
0.37,443.02963260515
0.38,371.86058652475
0.39,337.14140845577
0.4,315.25225103966
0.41,299.17197221357
0.42,286.33258486341
0.43,275.52235217631
0.44,266.07082172178
0.45,257.58218200094
0.46,249.80111238739
0.47,242.55063243688
0.48,235.70879327901
0.49,229.19672675155
0.5,222.95532082126
0.51,216.93846425426
0.52,211.10634067814
0.53,205.43116557675
0.54,199.88799744846
0.55,194.45903225332
0.56,189.12430683632
0.57,183.86920110453
0.58,178.67922546446
0.59,173.54307706031
0.6,168.44668879094
0.61,163.38050223266
0.62,158.3322274555
0.63,153.29172968116
0.64,148.24876181206
0.65,143.19328859344
0.66,138.11549929172
0.67,133.00578082488
0.68,127.85461766406
0.69,122.65226927826
0.7,117.39062116005
