time,Fx
0,0
0.01,80.830139433121
0.02,161.4668844799
0.03,241.91093783242
0.04,322.16300513518
0.05,389.66646154205
0.06,393.33455722892
0.07,396.31226919173
0.08,398.81652069365
0.09,400.99782472683
0.1,402.95937193569
0.12,406.37057794238
0.14,409.63773737657
0.16,412.75017836509
0.18,415.77705914945
0.2,418.7518707668
0.22,421.69101940819
0.24,424.60268986921
0.26,427.49107906204
0.28,430.35841726409
0.3,433.20595190703
0.32,436.03442677516
0.34,438.8443186809
0.36,441.63596875837
0.38,444.40962665725
0.4,447.15854431472
0.42,372.51968405016
0.44,295.51156422165
0.46,240.40730774144
0.48,198.87000285732
0.5,166.35913235975
0.52,140.30997219922
0.54,119.10834655426
0.56,101.66220661544
0.58,87.175312863546
0.6,75.051081220031
0.62,64.816365401508
0.64,56.137774437723
0.66,48.759661793398
0.68,42.456898785176
0.7,37.093517743203
