time,Fx
0,0
0.01,80.830139433121
0.02,161.4668844799
0.03,241.91093783242
0.04,322.16300513518
0.05,389.66646154205
0.06,393.33455722892
0.07,396.31226919173
0.08,398.81652069365
0.09,400.99782472683
0.1,402.95937193569
0.12,406.37057221993
0.14,409.6377316829
0.16,412.7501728545
0.18,415.77705443929
0.2,418.75186596838
0.22,421.69101411048
0.24,424.60268515528
0.26,427.4910743639
0.28,430.35841278321
0.3,433.20594743665
0.32,436.03442246017
0.34,438.84431645928
0.36,441.63596475431
0.38,444.4096218526
0.4,447.13863187951
0.42,344.67238640601
0.44,247.84002847428
0.46,192.90525372211
0.48,155.76846725915
0.5,128.56343577433
0.52,107.6534681569
0.54,91.080733817131
0.56,77.631632931569
0.58,66.581394038652
0.6,57.393956587972
0.62,49.61105818489
0.64,42.718689334501
0.66,36.563088756066
0.68,31.389062967518
0.7,27.223871181464
