time,Fx
0,0
0.01,80.830139433121
0.02,161.4668844799
0.03,241.91093783242
0.04,322.16300513518
0.05,389.66646154205
0.06,393.33455722892
0.07,396.31226919173
0.08,398.81652069365
0.09,400.99782472683
0.1,402.95937193569
0.12,406.37057223879
0.14,409.63773176745
0.16,412.75017305984
0.18,415.77705422995
0.2,418.75186588289
0.22,421.69101401586
0.24,424.60268513247
0.26,427.49107208619
0.28,430.35841281406
0.3,433.20594741198
0.32,436.03442232163
0.34,438.84431654935
0.36,441.63596499062
0.38,444.40962191111
0.4,447.14230444076
0.42,379.67393927698
0.44,284.08962173727
0.46,224.77851568866
0.48,183.89449201313
0.5,153.5449028791
0.52,130.07087958146
0.54,111.28321285315
0.56,95.92798900693
0.58,83.152001004132
0.6,72.335643827415
0.62,63.045852860945
0.64,54.920547686411
0.66,47.814323930982
0.68,41.749361581554
0.7,36.680868029778
