time,Fx
0,0
0.01,80.830139433121
0.02,161.4668844799
0.03,241.91093783241
0.04,322.16300513518
0.05,389.66646154197
0.06,393.33455723175
0.07,396.31226919587
0.08,398.81652066234
0.09,400.99782472885
0.1,402.95937194699
0.11,404.77129750321
0.12,406.48098049787
0.13,408.12029904863
0.14,409.71065435919
0.15,411.26640278784
0.16,412.797177162
0.17,414.3094519157
0.18,415.8075885218
0.19,417.29453594695
0.2,418.77229695632
0.21,420.24223972102
0.22,421.70530493361
0.23,423.16254178106
0.24,424.61321780309
0.25,426.05882521254
0.26,427.49926537112
0.27,428.93464343015
0.28,430.36510834197
0.29,431.79075355839
0.3,433.21166154351
0.31,434.6278845736
0.32,436.03947074319
0.33,437.4464702568
0.34,438.84822288978
0.35,440.2468196872
0.36,441.64023088266
0.37,443.02916712279
0.38,367.91431008388
0.39,332.10371118622
0.4,309.43579075369
0.41,292.67479447418
0.42,279.21232483725
0.43,267.80526011508
0.44,257.78976054381
0.45,248.76019498086
0.46,240.46309947141
0.47,232.72479441016
0.48,225.42501924332
0.49,218.47597080664
0.5,211.82195344575
0.51,205.41665692995
0.52,199.22671883843
0.53,193.22336147184
0.54,187.38340251691
0.55,181.68665150509
0.56,176.11820461744
0.57,170.66094626475
0.58,165.30203382247
0.59,160.02863325859
0.6,154.82880508356
0.61,149.691336326
0.62,144.60525884268
0.63,139.56003585652
0.64,134.54601714894
0.65,129.55378290599
0.66,124.57421792456
0.67,119.6002989935
0.68,114.62425125112
0.69,109.64018980069
0.7,104.642998611
