time,Fx
0,0
0.01,80.830234201482
0.02,161.46707192806
0.03,241.91121843158
0.04,322.16337850914
0.05,389.66649112067
0.06,393.33457873892
0.07,396.3122834783
0.08,398.8167886541
0.09,400.99783516307
0.1,402.95937984624
0.11,404.77130811072
0.12,406.48099399085
0.13,408.12030947469
0.14,409.71066742512
0.15,411.26641135212
0.16,412.79719136492
0.17,414.30946676342
0.18,415.80760364585
0.19,417.2945513563
0.2,418.77231021833
0.21,420.24224801463
0.22,421.70532447652
0.23,423.16216102467
0.24,424.61322967485
0.25,426.05885845998
0.26,427.49927676663
0.27,428.93465662514
0.28,430.36511935084
0.29,431.79076620033
0.3,433.21167220924
0.31,434.62789518087
0.32,436.03948337416
0.33,437.44648096138
0.34,438.84891858707
0.35,440.24682982432
0.36,441.64024396703
0.37,443.0291701585
0.38,444.41366096536
0.39,445.79371477402
0.4,447.16922168662
0.41,448.53912544246
0.42,449.90078391961
0.43,451.23869605059
0.44,380.1027194151
0.45,324.68393251684
0.46,284.05934372608
0.47,251.73552431246
0.48,224.84345759155
0.49,201.8367119599
0.5,181.78682620274
0.51,164.08256716762
0.52,148.29568175285
0.53,134.11625392152
0.54,121.30992717041
0.55,109.70202615737
0.56,99.156734657321
0.57,89.554538413817
0.58,80.823982485833
0.59,72.876515963725
0.6,65.661231289139
0.61,59.133272781607
0.62,53.238648118251
0.63,47.941509631377
0.64,43.204964343955
0.65,38.977230678571
0.66,35.224124266847
0.67,31.891213892813
0.68,28.944347211614
0.69,26.330876960557
0.7,24.021768064578
