time,Fx
0,0
0.01,80.830139433121
0.02,161.4668844799
0.03,241.91093783242
0.04,322.16300513518
0.05,389.66646154205
0.06,393.33455722892
0.07,396.31226919173
0.08,398.81652069365
0.09,400.99782472683
0.1,402.95937193569
0.12,406.3705771341
0.14,409.63773661939
0.16,412.75017712901
0.18,415.77705807491
0.2,418.75187020544
0.22,421.6910163406
0.24,424.60268647971
0.26,427.49093224384
0.28,430.35841578808
0.3,433.20595240744
0.32,436.03442668741
0.34,438.84431941057
0.36,441.6359707972
0.38,444.40962617013
0.4,447.16540590389
0.42,449.89883398858
0.44,343.75677527916
0.46,272.84812878683
0.48,223.24495282206
0.5,185.19093766707
0.52,154.61974819078
0.54,129.40980700328
0.56,108.28817731836
0.58,90.452722937897
0.6,75.355991228037
0.62,62.616417843291
0.64,51.94325470018
0.66,43.109902577138
0.68,35.88270074404
0.7,30.025411258143
