d,ep,stress,total_strain
0,0,0,0
0,0,6.8797190688834,0.00010000499999996
0,0,13.758876406772,0.00020002000000019
0,0,20.637472210089,0.00030004500000014
0,0,27.515506675533,0.00040007999999991
0,0,34.392979999637,0.00050012499999996
0,0,41.269892378678,0.00060017999999995
0,0,48.146244008907,0.00070024499999988
0,0,55.022035086583,0.00080031999999997
0,0,61.897265807749,0.0009004050000001
0,0,68.771936368316,0.0010004999999998
0,0,75.646046964262,0.0011006050000001
0,0,82.519597791284,0.00120072
0,0,89.392589045056,0.0013008449999996
0,0,96.265020921483,0.0014009800000001
0,0,103.13689361573,0.0015011250000001
0,0,110.00820732331,0.00160128
0,0,116.8789622396,0.001701445
0,0,123.74915855968,0.0018016200000001
0,0,130.61879647884,0.001901805
0,0,137.48787619202,0.0020019999999999
0,0,144.35639789416,0.002102205
0,0,151.22436178008,0.0022024199999999
0,0,158.09176804461,0.002302645
0,0,164.95861688225,0.0024028799999996
0,0,171.82490848773,0.0025031249999999
0,0,178.69064305547,0.0026033799999999
0,0,185.55582077975,0.002703645
0,0,192.42044185486,0.0028039199999997
0,0,199.28450647504,0.0029042049999999
0,0,206.14801483432,0.0030044999999999
0,0,213.01096712673,0.0031048050000001
0,0,219.8733635461,0.0032051200000001
0,0,226.7352042863,0.0033054450000001
0,0,233.59648954101,0.00340578
0,0,240.45721950388,0.0035061250000002
0,0,247.31739436838,0.0036064800000003
0,0,254.17701432785,0.0037068450000003
0,0,261.03607957569,0.00380722
0,0,267.89459030526,0.0039076050000002
0,0,274.75254670947,0.0040079999999998
0,0,281.60994898162,0.004108405
0,0,288.46679731446,0.00420882
0,0,295.32309190095,0.004309245
0,0,302.17883293379,0.00440968
0,0,309.03402060574,0.0045101249999999
0,0,315.88865510934,0.0046105799999999
0,4.6888908975472e-05,319.52730861837,0.0047110449999997
0,0.00014584194086897,319.59517370176,0.00481152
0,0.00024478521116029,319.6630320448,0.0049120049999999
0,0.00034371872178399,319.73088364893,0.0050125000000001
0,0.00044264247467349,319.7987285154,0.0051130050000001
0,0.00054155647176241,319.86656664551,0.0052135200000003
0,0.00064046071498225,319.93439804074,0.0053140450000001
0,0.00073935520626575,320.00222270243,0.0054145800000003
0.00013643633636417,0.00083823994754375,317.82509230189,0.0055151250000001
0.0004600764801305,0.00093711494074791,312.68291428939,0.00561568
0.0007788076065038,0.0010359801878078,307.77239584452,0.005716245
0.0010928466419743,0.0011348356906535,303.07670906385,0.0058168200000001
0.0014023949946183,0.0012336814512145,298.58068808034,0.005917405
0.0017076400649261,0.0013325174714181,294.27062384103,0.0060180000000002
0.0020087565735116,0.0014313437531931,290.13408901324,0.0061186049999999
0.002305907730064,0.001530160298467,286.15978795941,0.00621922
0.0025992462679899,0.001628967109166,282.33742761812,0.0063198450000002
0.0028889153625268,0.001727764187217,278.65760594315,0.0064204799999999
0.0031750494477467,0.0018265515345448,275.11171515156,0.0065211249999999
0.0034577749455113,0.0019253291530754,271.69185751151,0.0066217799999999
0.0037372109190013,0.0020240970447328,268.39077178108,0.006722445
0.0040134696583985,0.0021228552114413,265.20176876077,0.00682312
0.0042866572085917,0.0022216036551242,262.11867463824,0.0069238050000001
0.0045568738444801,0.0023203423777038,259.13578105067,0.0070244999999997
0.0048242145016362,0.0024190713811032,256.24780092588,0.0071252050000001
0.0050887691656786,0.0025177906672435,253.44982934644,0.0072259200000001
0.0053506232262178,0.0026165002380458,250.7373087638,0.007326645
0.0056098577991799,0.0027152000954304,248.10599800173,0.00742738
0.0058665500202661,0.002813890241318,245.55194457859,0.0075281250000001
0.0061207733130265,0.0029125706776273,243.07145993184,0.0076288799999999
0.0063725976343307,0.0030112414062774,240.66109719047,0.0077296449999999
0.0066220896992342,0.0031099024291863,238.31763119427,0.0078304199999998
0.0068693131875037,0.0032085537482721,236.03804049484,0.007931205
0.0071143289334675,0.0033071953654515,233.81949111092,0.0080319999999998
0.007357195100795,0.0034058272826414,231.65932184011,0.0081328049999999
0.0075979673440147,0.0035044495017573,229.55503094996,0.0082336199999998
0.0078366989573252,0.003603062024715,227.50426410399,0.0083344449999999
0.008073441012482,0.003701664853429,225.50480338447,0.0084352799999999
0.0083082424862366,0.0038002579898137,223.55455730005,0.0085361249999999
0.0085411503789754,0.0038988414357831,221.65155166973,0.0086369799999999
0.0087722098242998,0.00399741519325,219.79392130227,0.0087378449999999
0.0090014641915986,0.0040959792641271,217.97990237963,0.0088387199999998
0.0092289551807081,0.0041945336503264,216.20782548769,0.0089396049999997
0.0094547229106691,0.0042930783537587,214.47610921902,0.0090404999999997
0.0096788060024102,0.0043916133763358,212.78325429833,0.0091414049999998
0.0099012416559438,0.0044901387199675,211.12783818059,0.0092423199999999
0.010122065722365,0.0045886543865638,209.50851007768,0.009343245
0.010341312771385,0.0046871603780336,207.92398637268,0.0094441800000001
0.010559016154647,0.0047856566962856,206.37304638637,0.009545125
0.010775208064808,0.0048841433432276,204.85452846739,0.00964608
0.010989919591274,0.0049826203207675,203.36732637308,0.009747045
0.01120318077244,0.0050810876308118,201.91038591861,0.00984802
0.011415020644562,0.0051795452752669,200.48270187184,0.0099490049999999
0.011625467288129,0.0052779932560386,199.08331506905,0.01005
0.011834547871382,0.0053764315750326,197.7113097365,0.010151005
0.012042288691021,0.0054748602341529,196.36581100194,0.01025202
0.012248715211085,0.0055732792353037,195.04598257492,0.010353045
0.012453852099378,0.0056716885803889,193.75102458778,0.01045408
0.012657723261617,0.0057700882713109,192.4801715839,0.010555125
0.012860351874398,0.0058684783099721,191.23269063587,0.01065618
