time,elastic,external,fracture,mobility,plastic,plastic_strain,stress,total_strain
17.2,841877939.82388,4764658927.583,98957844.347539,12.937592424639,3840058249.6846,0.011849247026049,320.11961374044,0.01734792
17.3,853795326.23301,4796114116.1852,118495418.23158,12.937592424639,3840058249.6846,0.011849247026049,318.68265760716,0.017449645
17.4,865599057.6868,4827426280.7288,138003624.12519,12.937592424639,3840058249.6846,0.011849247026049,317.25627008248,0.01755138
17.5,877290411.12002,4858596475.2579,157482239.12267,12.937592424639,3840058249.6846,0.011849247026049,315.84034412548,0.017653125
17.6,888870645.60127,4889625743.1299,176931047.51727,12.937592424639,3840058249.6846,0.011849247026049,314.43477389364,0.01775488
17.7,900341002.56696,4920515117.136,196349840.63895,12.937592424639,3840058249.6846,0.011849247026049,313.03945473751,0.017856645
17.8,911702706.11591,4951265619.6205,215738416.72917,12.937592424639,3840058249.6846,0.011849247026049,311.65428318283,0.01795842
17.9,922956963.28617,4981878262.5993,235096580.76226,12.937592424639,3840058249.6846,0.011849247026049,310.27915693214,0.018060205
18,934104964.27925,5012354047.8775,254424144.34059,12.937592424639,3840058249.6846,0.011849247026049,308.91397484139,0.018162
18.1,945147882.73769,5042693967.1655,273720925.5091,12.937592424639,3840058249.6846,0.011849247026049,307.5586369248,0.018263805
18.2,956086875.99346,5072899002.1943,292986748.66404,12.937592424639,3840058249.6846,0.011849247026049,306.21304432881,0.01836562
18.3,966923085.33233,5102970124.8303,312221444.37302,12.937592424639,3840058249.6846,0.011849247026049,304.87709933602,0.018467445
18.4,977657636.2207,5132908297.1879,331424849.28333,12.937592424639,3840058249.6846,0.011849247026049,303.55070534097,0.01856928
18.5,988291638.56749,5162714471.7417,350596805.95197,12.937592424639,3840058249.6846,0.011849247026049,302.23376685202,0.018671125
18.6,998826186.94047,5192389591.4377,369737162.74695,12.937592424639,3840058249.6846,0.011849247026049,300.92618947095,0.01877298
18.7,1009262360.8296,5221934589.8034,388845773.69841,12.937592424639,3840058249.6846,0.011849247026049,299.62787988915,0.018874845
18.8,1019601224.8517,5251350391.0561,407922498.39436,12.937592424639,3840058249.6846,0.011849247026049,298.33874587074,0.01897672
18.9,1029843829.0361,5280637910.2113,426967201.8212,12.937592424639,3840058249.6846,0.011849247026049,297.05869625257,0.019078605
19,1039991208.9674,5309798053.1889,445979754.30472,12.937592424639,3840058249.6846,0.011849247026049,295.78764091561,0.0191805
19.1,1050044386.0707,5338831716.9189,464960031.33417,12.937592424639,3840058249.6846,0.011849247026049,294.52549079132,0.019282405
19.2,1060004367.8222,5367739789.446,483907913.47564,12.937592424639,3840058249.6846,0.011849247026049,293.27215784177,0.01938432
19.3,1069872147.9644,5396523150.0326,502823286.24603,12.937592424639,3840058249.6846,0.011849247026049,292.02755505278,0.019486245
19.4,1079648706.6962,5425182669.2616,521706040.01907,12.937592424639,3840058249.6846,0.011849247026049,290.79159641804,0.01958818
19.5,1089335010.9069,5453719209.137,540556069.89326,12.937592424639,3840058249.6846,0.011849247026049,289.5641969346,0.019690125
19.6,1098932014.4016,5482133623.1846,559373275.59526,12.937592424639,3840058249.6846,0.011849247026049,288.34527258906,0.01979208
19.7,1108440658.0425,5510426756.5502,578157561.39445,12.937592424639,3840058249.6846,0.011849247026049,287.1347403416,0.019894045
19.8,1117861870.0245,5538599446.0981,596908835.94819,12.937592424639,3840058249.6846,0.011849247026049,285.93251812876,0.01999602
19.9,1127196566.0188,5566652520.5076,615627012.2651,12.937592424639,3840058249.6846,0.011849247026049,284.73852483586,0.020098005
20,1136445649.3887,5594586800.3687,634312007.55573,12.937592424639,3840058249.6846,0.011849247026049,283.5526802994,0.0202
20.1,1145610011.4009,5622403098.277,652963743.15267,12.937592424639,3840058249.6846,0.011849247026049,282.37490529177,0.020302005
20.2,1154690531.3599,5650102218.9268,671582144.42734,12.937592424639,3840058249.6846,0.011849247026049,281.20512150772,0.02040402
20.3,1163688076.8581,5677684959.2039,690167140.6714,12.937592424639,3840058249.6846,0.011849247026049,280.04325155995,0.020506045
20.4,1172603503.9205,5705152108.277,708718665.0252,12.937592424639,3840058249.6846,0.011849247026049,278.88921896379,0.02060808
20.5,1181437657.1783,5732504447.688,727236654.39037,12.937592424639,3840058249.6846,0.011849247026049,277.74294812613,0.020710125
20.6,1190191370.0679,5759742751.4409,745721049.32285,12.937592424639,3840058249.6846,0.011849247026049,276.60436433973,0.02081218
20.7,1198865465.0142,5786867786.0908,764171793.95064,12.937592424639,3840058249.6846,0.011849247026049,275.47339377169,0.020914245
