time,elastic,external,fracture,mobility,plastic,plastic_strain,stress,total_strain
7.8,752139287.00328,1746386924.905,0,12.9375,998495770.97173,0.0031099024291837,321.62799797791,0.0078304199999999
7.9,752455831.07891,1778353343.3239,0,12.9375,1030278616.5482,0.0032085537482709,321.69565473329,0.0079312049999999
8,752772410.43576,1810323323.6608,0,12.9375,1062065031.1123,0.0033071953654516,321.7633047898,0.008032
8.1,753089025.05679,1842296864.5467,0,12.9375,1093855013.3061,0.0034058272826415,321.83094814891,0.0081328049999999
8.2,753405674.92302,1874273964.6136,0,12.9375,1125648561.7732,0.0035044495017575,321.89858481177,0.0082336199999999
8.3,753722360.02454,1906254622.4937,0,12.9375,1157445675.155,0.0036030620247091,321.96621478088,0.0083344449999999
8.4,754039080.34804,1938238836.8199,0,12.9375,1189246352.1017,0.0037016648534292,322.03383805395,0.0084352799999998
8.5,754355835.87432,1970226606.2254,0,12.9375,1221050591.2499,0.0038002579898075,322.10145463728,0.008536125
8.6,754672626.59798,2002217929.3442,0,12.9375,1252858391.2529,0.0038988414357834,322.16906452695,0.0086369799999998
8.7,754989452.50261,2034212804.8107,0,12.9375,1284669750.7494,0.0039974151932476,322.23666772888,0.0087378449999999
8.8,755306313.56878,2066211231.2599,0,12.9375,1316484668.3893,0.0040959792641245,322.30426424191,0.0088387199999998
8.9,755623209.79466,2098213207.3273,0,12.9375,1348303142.8194,0.0041945336503262,322.37185406745,0.0089396049999998
9,755940141.15542,2130218731.6489,0,12.9375,1380125172.6854,0.0042930783537589,322.43943720782,0.0090404999999998
9.1,756257107.64773,2162227802.8613,0,12.9375,1411950756.635,0.0043916133763335,322.50701366434,0.0091414049999997
9.2,756574109.24794,2194240419.6016,0,12.9375,1443779893.3189,0.0044901387199678,322.57458343686,0.0092423199999998
9.3,756891145.95129,2226256580.5075,0,12.9375,1475612581.3838,0.0045886543865642,322.64214652817,0.009343245
9.4,757208217.73597,2258276284.2172,0,12.9375,1507448819.4797,0.0046871603780338,322.70970293911,0.00944418
9.5,757525324.59616,2290299529.3693,0,12.9375,1539288606.2565,0.0047856566962856,322.77725267098,0.0095451249999999
9.6,757842466.51803,2322326314.6032,0,12.9375,1571131940.3648,0.0048841433432279,322.84479572511,0.0096460799999999
