d,ep,stress,total_strain
0,0,0,0
0,0,27.515506675588,0.00040007999999991
0,0,55.022035086657,0.00080032000000019
0,0,82.519597791338,0.00120072
0,0,110.00820732335,0.00160128
0,0,137.48787619203,0.0020019999999999
0,0,164.95861688232,0.00240288
0,0,192.42044185485,0.0028039199999997
0,0,219.87336354616,0.0032051200000001
0,0,247.31739436832,0.0036064800000003
0,0,274.75254670951,0.004008
0,0,302.17883293386,0.00440968
0,0.00014584651717834,319.59517684036,0.00481152
0,0.00054161894764398,319.8666094933,0.0052135200000001
0,0.00093723527014688,320.13793435553,0.00561568
0,0.0013326956083335,320.40915151272,0.0060180000000002
0,0.0017280000857028,320.68026105037,0.00642048
0,0.0021231488256065,320.95126305424,0.00682312
0,0.0025181419512538,321.22215760898,0.0072259200000002
0,0.0029129795856999,321.49294480051,0.0076288800000001
0,0.0033076618518598,321.76362471376,0.008032
0,0.0037021888725005,322.03419743385,0.0084352800000001
0,0.0040965607702427,322.30466304589,0.00883872
0,0.0044907776675654,322.57502163432,0.0092423200000003
0,0.0048848396867987,322.84527328386,0.0096460800000002
0,0.0052787469501267,323.11541807958,0.01005
0,0.0056724995795924,323.38545610589,0.01045408
0,0.0060660976970918,323.65538744722,0.01085832
0,0.0064595414243783,323.92521218787,0.01126272
0,0.0068528308830597,324.19493041211,0.01166728
0,0.0072459661946006,324.46454220414,0.012072
0,0.0076389474803223,324.73404764792,0.01247688
0,0.0080317748614023,325.00344682747,0.01288192
0,0.0084244484588752,325.27273982666,0.01328712
0,0.0088169683936321,325.54192672916,0.01369248
0,0.0092093347864222,325.81100761868,0.014098
0,0.0096015477578518,326.07998257876,0.01450368
0,0.0099936074283849,326.34885169283,0.01490952
0,0.010385513918344,326.61761504434,0.01531552
0,0.010777267347909,326.8862727164,0.01572168
0,0.011168867837118,327.15482479227,0.016128
0,0.011560315505869,327.42327135501,0.01653448
0,0.011951610473918,327.69161248756,0.01694112
0,0.012342752860881,327.95984827279,0.01734792
0,0.01273374278623,328.22797879353,0.01775488
0,0.013124580369302,328.49600413229,0.018162
0,0.01351526572929,328.76392437182,0.01856928
0,0.013905798985246,329.0317395945,0.01897672
0,0.014296180256087,329.2994498827,0.01938432
0,0.014686409660583,329.56705531896,0.01979208
0,0.015076487317375,329.83455598481,0.0202
0,0.015466413344954,330.10195196297,0.02060808
0,0.015856187861678,330.36924333521,0.02101632
0,0.016245810985766,330.6364301835,0.02142472
0,0.016635282835296,330.90351258952,0.02183328
0,0.017024603528212,331.17049063502,0.022242
0,0.017413773182314,331.43736440168,0.02265088
0,0.01780279191527,331.70413397098,0.02305992
0,0.018191659844606,331.97079942428,0.02346912
0,0.018580377087714,332.23736084291,0.02387848
0,0.018968943761846,332.50381830812,0.024288
0,0.019357359984117,332.77017190102,0.02469768
0,0.019745625871509,333.03642170271,0.02510752
0,0.020133741540862,333.3025677941,0.02551752
0,0.020521707108884,333.56861025596,0.02592768
0.022665472737997,0.020521707108884,312.04325631258,0.026338
0.043917156380011,0.020521707108884,293.28783110836,0.02674848
0.063870929777332,0.020521707108884,276.91965810674,0.02715912
0.082732287117097,0.020521707108884,262.42903645009,0.02756992
0.10065327738946,0.020521707108884,249.45530056203,0.02798088
0.11775059042924,0.020521707108884,237.73334881327,0.028392
0.13411639800617,0.020521707108884,227.0623398292,0.02880328
0.14982522240857,0.020521707108884,217.28631795027,0.02921472
0.16493848649438,0.020521707108884,208.28167256739,0.02962632
0.17950764028816,0.020521707108884,199.94871591727,0.03003808
0.19357637636627,0.020521707108884,192.20584907378,0.03045
0.20718224100798,0.020521707108884,184.98541293804,0.03086208
0.22035783250098,0.020521707108884,178.23066974308,0.03127432
0.23313170992723,0.020521707108884,171.89356312817,0.03168672
0.24552909427957,0.020521707108884,165.93302674611,0.03209928
0.25757241761508,0.020521707108884,160.31368718493,0.032512
0.26928175902514,0.020521707108884,155.00485545009,0.03292488
0.28067519495553,0.020521707108884,149.97973302443,0.03333792
0.29176908380329,0.020521707108884,145.2147797878,0.03375112
0.30257829939701,0.020521707108884,140.68920565974,0.03416448
0.31311642429323,0.020521707108884,136.38455790776,0.034578
0.32339591110832,0.020521707108884,132.28438326455,0.03499168
0.33342821820397,0.020521707108884,128.37394910371,0.03540552
0.34322392459367,0.020521707108884,124.64001168318,0.03581952
0.35279282787697,0.020521707108884,121.07062221539,0.03623368
0.362144028211,0.020521707108884,117.6549635722,0.036648
0.37128600070662,0.020521707108884,114.38321198675,0.03706248
0.38022665816479,0.020521707108884,111.24641929051,0.03747712
0.38897340570711,0.020521707108884,108.23641212418,0.03789192
0.39753318856215,0.020521707108884,105.34570526467,0.03830688
0.40591253403746,0.020521707108884,102.56742675959,0.038722
0.41411758853848,0.020521707108884,99.89525298318,0.03913728
0.42215415033239,0.020521707108884,97.323352079778,0.03955272
0.43002769865603,0.020521707108884,94.846334521404,0.03996832
0.43774341965656,0.020521707108884,92.459209733975,0.04038408
0.44530622958499,0.020521707108884,90.157347917226,0.0408
0.45272079559334,0.020521707108884,87.936446329804,0.04121608
0.45999155443938,0.020521707108884,85.79249942479,0.04163232
0.46712272935155,0.020521707108884,83.721772320868,0.04204872
0.47411834527471,0.020521707108884,81.720777171128,0.04246528
0.48098224268679,0.020521707108884,79.786252056871,0.042882
0.48771809014908,0.020521707108884,77.915142089496,0.04329888
0.49432939573018,0.020521707108884,76.104582449221,0.04371592
0.50081951743045,0.020521707108884,74.351883125453,0.04413312
0.50719167270889,0.020521707108884,72.654515159941,0.04455048
