time,Rx_left,Rx_right,p,separation
0,0,0,0,0
0.00025,-0.0389962358226,0.038996235820672,0,4.4142499107352e-09
0.0005,-0.077992471644546,0.077992471642605,0,8.8284998213963e-09
0.00075,-0.11698870746649,0.11698870746459,0,1.3242749732057e-08
0.001,-0.15598494328844,0.15598494328654,0,1.7656999642719e-08
0.00125,-0.19498117911038,0.19498117910854,0,2.207124955338e-08
0.0015,-0.23397741493233,0.23397741493041,0,2.6485499464041e-08
0.00175,-0.27297365075428,0.2729736507524,0,3.0899749374702e-08
0.002,-0.31196988657622,0.31196988657426,0,3.5313999285363e-08
0.00225,-0.35096612239817,0.35096612239647,0,3.9728249196024e-08
0.0025,-0.38996235822012,0.38996235821813,0,4.4142499106685e-08
0.00275,-0.42895859404206,0.42895859404003,0,4.8556749017346e-08
0.003,-0.46795482986401,0.46795482986214,0,5.2970998928007e-08
0.00325,-0.50695106568595,0.50695106568398,0,5.7385248838669e-08
0.0035,-0.5459473015079,0.54594730150609,0,6.179949874933e-08
0.00375,-0.58494353732985,0.58494353732799,0,6.6213748659991e-08
0.004,-0.62393977315179,0.6239397731496,0,7.0627998570652e-08
0.00425,-0.66293600897374,0.66293600897203,0,7.5042248481313e-08
0.0045,-0.70193224479569,0.70193224479367,0,7.9456498391974e-08
0.00475,-0.74092848061763,0.7409284806158,0,8.3870748302635e-08
0.005,-0.77992471643958,0.77992471643797,0,8.8284998213296e-08
0.00525,-0.81892095226152,0.81892095225926,0,9.2699248123958e-08
0.0055,-0.85791718808347,0.85791718808183,0,9.7113498034619e-08
0.00575,-0.89691342390542,0.89691342390344,0,1.0152774794528e-07
0.006,-0.93590965972736,0.93590965972538,0,1.0594199785594e-07
0.00625,-0.97490589554931,0.97490589554751,0,1.103562477666e-07
0.0065,-1.0139021313712,1.0139021313691,0,1.1477049767726e-07
0.00675,-1.0528983671932,1.0528983671913,0,1.1918474758792e-07
0.007,-1.0918946030151,1.0918946030131,0,1.2359899749859e-07
0.00725,-1.1308908388371,1.1308908388352,0,1.2801324740925e-07
0.0075,-1.169887074659,1.1698870746571,0,1.3242749731991e-07
0.00775,-1.208883310481,1.2088833104791,0,1.3684174723057e-07
0.008,-1.2478795463029,1.2478795463006,0,1.4125599714123e-07
0.00825,-1.2868757821249,1.2868757821233,0,1.4567024705189e-07
0.0085,-1.3258720179468,1.3258720179447,0,1.5008449696255e-07
0.00875,-1.3648682537688,1.3648682537669,0,1.5449874687321e-07
