time Fx load
0 0 0
0.0001 0 0
0.0002 0.29143785100955 0.0001
0.0003 0.58287525751433 0.0002
0.0004 0.87431147581252 0.0003
0.0005 1.1657455010261 0.0004
0.0006 1.457176394049 0.0005
0.0007 1.7486032165652 0.0006
0.0008 2.0400250310356 0.0007
0.0009 2.3314040652537 0.0008
0.001 2.6228295063363 0.0009
0.0011 2.9142253485627 0.001
0.0012 3.2056086180373 0.0011
0.0013 3.4969802416776 0.0012
0.0014 3.7883371339956 0.0013
0.0015 4.0796000809808 0.0014
0.0016 4.3709122553361 0.0015
0.0017 4.6622061349849 0.0016
0.0018 4.953476641475 0.0017
0.0019 5.2447218844989 0.0018
0.002 5.5359438651429 0.0019
0.0021 5.827121367614 0.002
0.0022 6.11826939613 0.0021
0.0023 6.409387274273 0.0022
0.0024 6.7004736431326 0.0023
0.0025 6.99152715151 0.0024
0.0026 7.2825464602405 0.0025
0.0027 7.5735294014706 0.0026
0.0028 7.8644763468495 0.0027
0.0029 8.1553848237806 0.0028
0.003 8.4462509972545 0.0029
0.0031 8.7370615742834 0.003
0.0032 9.0278266744421 0.0031
0.0033 9.3185236078631 0.0032
0.0034 9.6091485203005 0.0033
0.0035 9.8996849267072 0.0034
0.0036 10.190033826054 0.0035
0.0037 10.480296160471 0.0036
0.0038 10.770472960421 0.0037
0.0039 11.060574352504 0.0038
0.004 11.350514030409 0.0039
0.0041 11.640438355222 0.004
0.0042 11.930214616659 0.0041
0.0043 12.219847818559 0.0042
0.0044 12.509341942048 0.0043
0.0045 12.798711430614 0.0044
0.0046 13.087927406278 0.0045
0.0047 13.376799058219 0.0046
0.0048 13.665558575641 0.0047
0.0049 13.954190087459 0.0048
0.005 14.242471990088 0.0049
0.0051 14.530747381133 0.005
0.0052 14.817155667346 0.0051
0.0053 15.104784818555 0.0052
0.0054 15.392249897333 0.0053
0.0055 15.679536691121 0.0054
0.0056 15.966615950259 0.0055
0.0057 16.253423401551 0.0056
0.0058 16.539821890555 0.0057
0.0059 16.825415277853 0.0058
0.006 17.110426703145 0.0059
0.0061 17.394924754265 0.006
0.0062 17.678836547075 0.0061
0.0063 17.962125515047 0.0062
0.0064 18.245170871479 0.0063
0.0065 18.527772705456 0.0064
0.0066 18.809047292087 0.0065
0.0067 19.089440307565 0.0066
0.0068 19.369341707367 0.0067
0.0069 19.647819541851 0.0068
0.007 19.925742286059 0.0069
0.0071 20.202338094255 0.007
0.0072 20.477284059333 0.0071
0.0073 20.750386513469 0.0072
0.0074 21.021682076194 0.0073
0.0075 21.291387061675 0.0074
0.0076 21.558282322458 0.0075
0.0077 21.820821977983 0.0076
0.0078 22.079866379951 0.0077
0.0079 22.335211896118 0.0078
0.008 22.58362208054 0.0079
0.0081 22.825804446066 0.008
0.0082 23.061420153966 0.0081
0.0083 23.283855293008 0.0082
0.0084 23.493255787299 0.0083
0.0085 23.683770324205 0.0084
0.0086 23.853516115309 0.0085
0.0087 23.989921448604 0.0086
0.0088 24.080082235261 0.0087
0.0088999999999999 24.099968319435 0.0088
0.0089999999999999 24.02463371953 0.0089
0.0090999999999998 23.84727960698 0.009
0.0091999999999997 23.584297330109 0.0091
0.0092999999999996 23.269953040573 0.0092
0.0093999999999996 22.955902874437 0.0093
0.0094999999999995 22.589977147003 0.0094
0.0095999999999994 22.098841588486 0.0095
0.0096999999999993 21.595361039419 0.0096
0.0097999999999993 21.050192672208 0.0097
0.0098999999999992 20.521697443175 0.0098
0.0099999999999991 19.994852997553 0.0099
0.010099999999999 19.4340132389 0.01
0.010199999999999 18.752489482852 0.0101
0.010299999999999 17.947309692687 0.0102
0.010399999999999 17.306458191868 0.0103
0.010499999999999 16.546514103761 0.0104
0.010599999999999 15.849962193873 0.0105
0.010699999999999 14.88397970519 0.0106
0.010799999999999 13.549598234534 0.0107
0.0109 0.13650886017102 0.0108
0.011 0.13312788696269 0.0109
0.0111 0.12983655069637 0.011
0.0112 0.12665905105458 0.0111
0.0113 0.12358993102934 0.0112
0.0114 0.12062536015682 0.0113
0.0115 0.11776014332344 0.0114
0.0116 0.11499094096073 0.0115
0.0117 0.11231310368947 0.0116
0.0118 0.11313938265571 0.0117
0.0119 0.10722361637168 0.0118
0.012 0.10478970143511 0.0119
0.0121 0.10555055769919 0.012
0.0122 0.10329421008482 0.0121
0.0123 0.10099942449558 0.0122
0.0124 0.098770777625982 0.0123
0.0125 0.096610976472642 0.0124
0.0126 0.094517720321194 0.0125
0.0127 0.089808151272427 0.0126
0.0128 0.087915961587404 0.0127
0.0129 0.088531555185098 0.0128
0.013 0.086757728183775 0.0129
0.0131 0.084964981605267 0.013
0.0132 0.083221672444572 0.0131
0.0133 0.081529098680509 0.0132
0.0134 0.077645577492533 0.0133
0.0135 0.078135706027779 0.0134
0.0136 0.076574703683048 0.0135
0.0137 0.074981969295211 0.0136
0.0138 0.073416021243399 0.0137
0.0139 0.069881246863733 0.0138
0.014 0.070273049837118 0.0139
0.0141 0.068885361759468 0.014
0.0142 0.067485039844698 0.0141
0.0143 0.066115819603925 0.0142
0.0144 0.063039819760196 0.0143
0.0145 0.063394724409237 0.0144
0.0146 0.062185863878361 0.0145
0.0147 0.060968570588786 0.0146
0.0148 0.059777878181399 0.0147
0.0149 0.058616198304067 0.0148
0.015 0.05600489908494 0.0149
0.0151 0.056320316123436 0.015
0.0152 0.055288413916966 0.0151
0.0153 0.054251021768434 0.0152
0.0154 0.053235566688028 0.0153
0.0155 0.052244015346217 0.0154
0.0156 0.051276638632651 0.0155
0.0157 0.05033318621451 0.0156
