time Fx load
0 0 0
0.0001 0 0
0.0002 0.30624251153307 0.0001
0.0003 0.61248502306619 0.0002
0.0004 0.91872753459931 0.0003
0.0005 1.2249700461324 0.0004
0.0006 1.5312125576656 0.0005
0.0007 1.8374550691987 0.0006
0.0008 2.1436975807318 0.0007
0.0009 2.4499400922649 0.0008
0.001 2.756182603798 0.0009
0.0011 3.0624251153311 0.001
0.0012 3.3686676268642 0.0011
0.0013 3.6749101383974 0.0012
0.0014 3.9811526499305 0.0013
0.0015 4.2873951614636 0.0014
0.0016 4.5936376729967 0.0015
0.0017 4.8998801845298 0.0016
0.0018 5.206122696063 0.0017
0.0019 5.5123652075961 0.0018
0.002 5.8186077191292 0.0019
0.0021 6.124849984043 0.002
0.0022 6.4310916592847 0.0021
0.0023 6.7373329965064 0.0022
0.0024 7.0435741736803 0.0023
0.0025 7.3498151837998 0.0024
0.0026 7.6560560193502 0.0025
0.0027 7.9622966728107 0.0026
0.0028 8.2685365046353 0.0027
0.0029 8.574753429392 0.0028
0.003 8.8809733305582 0.0029
0.0031 9.1871895859487 0.003
0.0032 9.493393911711 0.0031
0.0033 9.7995764686019 0.0032
0.0034 10.10575117606 0.0033
0.0035 10.411913269048 0.0034
0.0036 10.718040358618 0.0035
0.0037 11.024122471378 0.0036
0.0038 11.330102843339 0.0037
0.0039 11.636051992342 0.0038
0.004 11.941977822569 0.0039
0.0041 12.247879842721 0.004
0.0042 12.553739583735 0.0041
0.0043 12.859444390521 0.0042
0.0044 13.165075602239 0.0043
0.0045 13.470434366531 0.0044
0.0046 13.775603194501 0.0045
0.0047 14.080584309609 0.0046
0.0048 14.385416731403 0.0047
0.0049 14.690039296827 0.0048
0.005 14.994505598037 0.0049
0.0051 15.298542228533 0.005
0.0052 15.601870505106 0.0051
0.0053 15.904886743983 0.0052
0.0054 16.207408377123 0.0053
0.0055 16.509238551059 0.0054
0.0056 16.810551778065 0.0055
0.0057 17.110798434439 0.0056
0.0058 17.409938480425 0.0057
0.0059 17.70808008845 0.0058
0.006 18.005632979376 0.0059
0.0061 18.302083841588 0.006
0.0062 18.596032645869 0.0061
0.0063 18.886891578008 0.0062
0.0064 19.176829161314 0.0063
0.0065 19.465529056828 0.0064
0.0066 19.750899646656 0.0065
0.0067 20.032666894608 0.0066
0.0068 20.312553334329 0.0067
0.0069 20.589749397971 0.0068
0.007 20.862745795362 0.0069
0.0071 21.131774784808 0.007
0.0072 21.396505474815 0.0071
0.0073 21.655546756493 0.0072
0.0074 21.912377213597 0.0073
0.0075 22.161917770069 0.0074
0.0076 22.408678438006 0.0075
0.0077 22.643828264977 0.0076
0.0078 22.874847223877 0.0077
0.0079 23.095907618733 0.0078
0.008 23.30808179773 0.0079
0.0081 23.510210352901 0.008
0.0082 23.698939840997 0.0081
0.0083 23.867045473653 0.0082
0.0084 24.021034144393 0.0083
0.0085 24.147906355491 0.0084
0.0086 24.240635754585 0.0085
0.0087 24.288737758599 0.0086
0.0087999999999999 24.304347737828 0.0087
0.0088999999999999 24.281459983204 0.0088
0.0089999999999998 24.243004739383 0.0089
0.0090999999999997 24.184591736945 0.009
0.0091999999999996 24.072304068147 0.0091
0.0092999999999996 23.894451324869 0.0092
0.0093999999999995 23.663161088281 0.0093
0.0094999999999994 23.355067976605 0.0094
0.0095999999999993 23.048463709843 0.0095
0.0096999999999993 22.804324677408 0.0096
0.0097999999999992 22.534027331416 0.0097
0.0098999999999991 22.116795987981 0.0098
0.009999999999999 21.722320451365 0.0099
0.010099999999999 21.288591728741 0.01
0.010199999999999 20.892332052646 0.0101
0.010299999999999 20.472898921578 0.0102
0.010399999999999 20.05239481171 0.0103
0.010499999999999 19.7174471151 0.0104
0.010599999999999 19.391015432558 0.0105
0.010699999999999 18.973443564885 0.0106
0.010799999999998 18.546825768229 0.0107
0.010899999999998 18.183432688058 0.0108
0.010999999999998 17.881974027028 0.0109
0.011099999999998 17.529984387251 0.011
0.011199999999998 17.078344383293 0.0111
0.011299999999998 16.624316255504 0.0112
0.011399999999998 16.166369641282 0.0113
0.011499999999998 15.696726151252 0.0114
0.0116 13.176382771843 0.0115
0.0117 13.240308325421 0.0116
0.0118 13.306551426597 0.0117
0.0119 13.374986123317 0.0118
0.012 13.445891468916 0.0119
0.0121 13.518420268639 0.012
0.0122 13.592907512032 0.0121
0.0123 13.668521495917 0.0122
0.0124 13.745479896654 0.0123
0.0125 13.824003542808 0.0124
0.0126 13.90319896948 0.0125
0.0127 13.983384333094 0.0126
0.0128 14.064516861294 0.0127
0.0129 14.146502214611 0.0128
0.013 14.22952707633 0.0129
0.0131 14.312958664341 0.013
0.0132 14.397062891062 0.0131
0.0133 14.481793554039 0.0132
0.0134 14.567019322545 0.0133
0.0135 14.652717011933 0.0134
0.0136 14.738766336144 0.0135
0.0137 14.82510682698 0.0136
0.0138 14.905592192975 0.0137
0.0139 14.993406963727 0.0138
0.014 15.080809035561 0.0139
0.0141 15.168667041242 0.014
0.0142 15.256720724733 0.0141
0.0143 15.345015726345 0.0142
0.0144 15.433516500552 0.0143
0.0145 15.522259089598 0.0144
0.0146 15.611228633041 0.0145
0.0147 15.700358065515 0.0146
0.0148 15.789676129487 0.0147
0.0149 15.879126796059 0.0148
0.015 15.968691276001 0.0149
0.0151 16.058342387182 0.015
0.0152 16.148101707392 0.0151
0.0153 16.237983198366 0.0152
0.0154 16.327778647524 0.0153
0.0155 16.417793642832 0.0154
0.0156 16.507910562492 0.0155
0.0157 16.598065256914 0.0156
0.0158 16.688259158864 0.0157
