time Fx load
0.0163 0.050223914175252 0.0162
0.0164 0.049358725911278 0.0163
0.0165 0.048513202098395 0.0164
0.0166 0.047686818653149 0.0165
0.0167 0.04687903941616 0.0166
0.0168 0.046089424702895 0.0167
0.0169 0.045317411976814 0.0168
0.017 0.044562518179146 0.0169
0.0171 0.042836491771768 0.017
0.0172 0.042148693823783 0.0171
0.0173 0.042382521522864 0.0172
0.0174 0.0417042627038 0.0173
0.0175 0.041028320021162 0.0174
0.0176 0.040366548316402 0.0175
0.0177 0.039718862364405 0.0176
0.0178 0.039084904372715 0.0177
0.0179 0.038464309988111 0.0178
0.018 0.037054789198658 0.0179
0.0181 0.037252251436216 0.018
0.0182 0.036679087806393 0.0181
0.0183 0.036108782996119 0.0182
0.0184 0.035549990117198 0.0183
0.0185 0.035002612882224 0.0184
0.0186 0.034466364536268 0.0185
0.0187 0.033247132655584 0.0186
0.0188 0.033419513299414 0.0187
0.0189 0.032922217677248 0.0188
0.019 0.032427909763927 0.0189
0.0191 0.031943272677153 0.019
0.0192 0.031468212647101 0.0191
0.0193 0.031002479930305 0.0192
0.0194 0.030545856789243 0.0193
0.0195 0.030098122739451 0.0194
0.0196 0.029659062821179 0.0195
0.0197 0.029228468725413 0.0196
0.0198 0.028806143140288 0.0197
0.0199 0.028391890039854 0.0198
0.02 0.027985502627368 0.0199
