stress,total_strain
0,0
2.9998775009666,0.00010000499999996
5.9995100610925,0.00020002000000019
8.9988977660273,0.00030004500000014
11.998040701541,0.00040007999999991
14.99693895333,0.00050012499999996
17.995592606982,0.00060017999999995
20.99400174807,0.00070024499999988
23.992166462173,0.00080031999999997
26.990086834774,0.0009004050000001
29.9877629513,0.0010004999999998
32.985194897207,0.0011006050000001
35.982382757827,0.00120072
38.979326618484,0.0013008449999996
41.9760265646,0.0014009800000001
44.972482681276,0.0015011250000001
47.968695053768,0.00160128
50.964663767269,0.001701445
53.960388906839,0.0018016200000001
56.955870557633,0.001901805
59.95110880466,0.0020019999999999
62.946103732918,0.002102205
65.940855427362,0.0022024199999999
68.935363972938,0.002302645
71.929629454467,0.0024028799999996
74.923651956859,0.0025031249999999
77.917431564884,0.0026033799999999
80.910968363261,0.002703645
83.904262436712,0.0028039199999997
86.897313869931,0.0029042049999999
89.890122747521,0.0030044999999999
92.882689154098,0.0031048050000001
95.875013174173,0.0032051200000001
98.867094892282,0.0033054450000001
101.85893439288,0.00340578
104.85053176041,0.0035061250000002
107.84188707923,0.0036064800000003
110.83300043366,0.0037068450000003
113.82387190801,0.00380722
116.81450158659,0.0039076050000002
119.80488955355,0.0040079999999998
122.79503589315,0.004108405
125.78494068944,0.00420882
128.77460402658,0.004309245
131.76402598857,0.00440968
134.75320665948,0.0045101249999999
137.74214612326,0.0046105799999999
140.73084446378,0.0047110449999995
143.71930176509,0.00481152
146.70751811088,0.0049120049999997
149.69549358505,0.0050124999999999
152.68322827134,0.0051130050000001
155.67072225346,0.0052135200000001
158.65797561516,0.0053140450000003
161.64498844,0.0054145800000001
164.63176081167,0.0055151250000001
167.61829281365,0.00561568
170.60458452959,0.0057162450000002
173.59063604284,0.0058168200000001
176.57644743693,0.005917405
179.56201879525,0.006018
182.54735020115,0.0061186049999999
185.53244173795,0.00621922
188.51729348895,0.0063198449999999
191.50190553741,0.0064204800000002
194.48627796645,0.0065211249999997
197.47041085934,0.0066217799999999
200.45430429914,0.006722445
203.43795836894,0.00682312
206.42137315176,0.0069238049999994
209.40454873071,0.0070245000000001
212.38748518857,0.0071252049999999
215.37018260841,0.0072259200000001
218.35264107304,0.0073266449999999
221.33486066533,0.0074273800000001
224.31684146808,0.0075281250000003
227.298583564,0.0076288799999998
230.28008703587,0.0077296450000001
233.26135196635,0.00783042
236.24237843803,0.0079312049999996
239.22316653361,0.0080319999999998
242.20371633559,0.0081328049999997
245.1840279265,0.0082336199999999
248.16410138885,0.0083344450000002
251.14393680496,0.0084352799999998
254.12353425737,0.008536125
257.10289382841,0.0086369800000001
260.08201560034,0.0087378450000002
263.06089965551,0.0088387200000002
266.0395460761,0.0089396050000001
269.01795494434,0.0090405000000001
271.99612634237,0.0091414049999999
274.97406035238,0.0092423200000001
277.95175705638,0.0093432450000002
280.92921653643,0.0094441800000001
283.90643887453,0.0095451249999999
286.88342415268,0.00964608
289.86017245276,0.009747045
292.83668385665,0.0098480200000001
295.81295844623,0.0099490050000002
298.78899630327,0.01005
301.76479750956,0.010151005
304.74036214683,0.01025202
307.71569029673,0.010353045
310.69078204094,0.01045408
313.66563746104,0.010555125
316.64025663863,0.01065618
318.88927190756,0.010757245
319.05765202204,0.01085832
319.22601567236,0.010959405
319.3943628617,0.0110605
319.56269359338,0.011161605
319.7310078706,0.01126272
319.89930569661,0.011363845
320.06758707458,0.01146498
320.23585200784,0.011566125
320.40410049958,0.01166728
320.57233255298,0.011768445
320.74054817138,0.01186962
320.90874735793,0.011970805
321.07693011584,0.012072
321.24509644848,0.012173205
321.41324635889,0.01227442
321.58137985038,0.012375645
321.74949692638,0.01247688
321.91759758955,0.012578125
322.08568184369,0.01267938
322.25374969172,0.012780645
322.4218011371,0.01288192
322.58983618269,0.012983205
322.75785483201,0.0130845
322.92585708819,0.013185805
323.09384295444,0.01328712
323.26181243401,0.013388445
323.42976553001,0.01348978
323.59770224577,0.013591125
323.76562258449,0.01369248
323.93352654936,0.013793845
324.10141414351,0.01389522
324.26928537027,0.013996605
324.43714023285,0.014098
324.60497873436,0.014199405
324.77280087811,0.01430082
324.94060666719,0.014402245
325.10839610492,0.01450368
325.27616919446,0.014605125
325.44392593905,0.01470658
325.61166634182,0.014808045
325.77939040603,0.01490952
325.94709813485,0.015011005
326.11478953152,0.0151125
326.28246459918,0.015214005
326.45012334108,0.01531552
326.6177657604,0.015417045
326.78539186038,0.01551858
326.95300164409,0.015620125
327.12059511485,0.01572168
327.28817227582,0.015823245
327.45573313024,0.01592482
327.62327768111,0.016026405
327.79080593181,0.016128
327.95831788555,0.016229605
328.12581354537,0.01633122
328.29329291465,0.016432845
328.46075599631,0.01653448
328.62820279367,0.016636125
328.79563331006,0.01673778
328.96304754844,0.016839445
329.13044551217,0.01694112
329.2978272044,0.017042805
329.46519262813,0.0171445
329.63254178683,0.017246205
329.79987468333,0.01734792
329.96719132107,0.017449645
330.13449170321,0.01755138
330.30177583296,0.017653125
330.46904371327,0.01775488
330.63629534754,0.017856645
330.80353073878,0.01795842
330.97074989034,0.018060205
331.13795280525,0.018162
331.30513948675,0.018263805
331.47230993801,0.01836562
331.63946416217,0.018467445
331.80660216242,0.01856928
331.97372394192,0.018671125
332.14082950382,0.01877298
332.30791885132,0.018874845
332.47499198754,0.01897672
332.64204891571,0.019078605
332.80908963894,0.0191805
332.9761141604,0.019282405
333.14312248324,0.01938432
333.31011461067,0.019486245
333.47709054577,0.01958818
333.6440502918,0.019690125
333.8109938519,0.01979208
333.97792122902,0.019894045
